code,sex,family name,first name,date of birth,activity,pol party
PA720952,male,Taché,Aurélien,1984-05-26,Cadres,EELV
PA720960,male,Serva,Olivier,1974-06-21,Cadres,LAREM
PA720968,female,Benin,Justine,1975-03-12,Cadres,MODEM
PA720976,male,Mathiasin,Max,1956-02-24,Cadres,MODEM
PA720988,female,Manin,Josette,1950-03-16,Retraités,ND
PA720996,male,El Guerrab,M'jid,1983-04-25,Cadres,UDRL
PA721004,female,Lakrafi,Amélia,1978-03-20,Entrepreneurs,LAREM
PA721012,female,Kéclard-Mondésir,Manuéla,1971-05-06,Prof. inter.,PCF
PA721024,female,Genetet,Anne,1963-04-20,Cadres,LAREM
PA721036,male,Adam,Lénaïck,1992-02-19,Cadres,LAREM
PA721046,female,Bassire,Nathalie,1968-01-22,Retraités,UDRL
PA721054,male,Lorion,David,1964-10-15,Cadres,REP
PA721062,male,Ratenon,Jean-Hugues,1967-06-25,Employés,FI
PA721070,female,Ramassamy,Nadia,1961-05-17,Cadres,REP
PA721094,male,Dunoyer,Philippe,1968-01-11,Cadres,ND
PA721110,female,Sanquer,Nicole,1972-06-16,Cadres,UDRL
PA721118,male,Brotherson,Moetai,1969-10-22,Non déclaré,ND
PA721126,female,Guion-Firmin,Claire,1957-09-06,Cadres,REP
PA721134,male,Lescure,Roland,1966-11-26,Cadres,LAREM
PA721142,female,Forteza,Paula,1986-08-08,Cadres,EELV
PA721150,male,Holroyd,Alexandre,1987-05-17,Retraités,LAREM
PA721158,male,Anglade,Pieyre-Alexandre,1986-11-02,Cadres,LAREM
PA721166,female,Cazebonne,Samantha,1971-08-10,Cadres,LAREM
PA721174,male,Son-Forget,Joachim,1983-04-15,Cadres,ND
PA721182,male,Petit,Frédéric,1961-02-10,Cadres,MODEM
PA721194,female,Dumas,Frédérique,1963-05-18,Entrepreneurs,EELV
PA721202,male,Coquerel,Éric,1958-12-30,Cadres,FI
PA721210,male,Corbière,Alexis,1968-08-17,Cadres,FI
PA721218,female,Charrière,Sylvie,1961-05-15,Cadres,LAREM
PA721226,female,Rubin,Sabine,1960-08-13,Cadres,FI
PA721234,female,Petit,Maud,1971-11-15,Prof. inter.,MODEM
PA721246,female,Gaillot,Albane,1971-07-07,Cadres,EELV
PA721262,male,Vuilletet,Guillaume,1967-06-20,Cadres,LAREM
PA721270,male,Peu,Stéphane,1962-07-24,Employés,PCF
PA721278,male,Anato,Patrice,1976-03-14,Cadres,LAREM
PA721286,male,Ramadier,Alain,1958-07-08,Cadres,REP
PA721296,male,Gouffier-Cha,Guillaume,1986-02-01,Cadres,LAREM
PA721314,male,Schellenberger,Raphaël,1990-02-14,Cadres,REP
PA721328,female,Brugnera,Anne,1970-11-28,Cadres,LAREM
PA721336,female,Brocard,Blandine,1981-11-03,Employés,MODEM
PA721344,male,Bonnell,Bruno,1958-10-06,Entrepreneurs,LAREM
PA721352,female,Cazarian,Danièle,1965-08-31,Entrepreneurs,LAREM
PA721364,male,Gauvain,Raphaël,1973-04-10,Cadres,LAREM
PA721372,male,Pichereau,Damien,1988-01-28,Employés,LAREM
PA721384,female,Fontenel-Personne,Pascale,1962-05-26,Entrepreneurs,MODEM
PA721398,female,Degois,Typhanie,1993-01-06,Prof. inter.,LAREM
PA721410,female,Bonnivard,Émilie,1980-08-02,Cadres,REP
PA721418,male,Mignola,Patrick,1971-08-08,Entrepreneurs,MODEM
PA721426,female,Riotton,Véronique,1969-11-02,Cadres,LAREM
PA721434,female,Lardet,Frédérique,1966-09-01,Cadres,LAREM
PA721450,female,Lenne,Marion,1974-11-20,Cadres,LAREM
PA721458,male,Roseren,Xavier,1970-01-12,Entrepreneurs,LAREM
PA721466,male,Le Gendre,Gilles,1958-05-13,Cadres,LAREM
PA721474,male,Viry,Stéphane,1969-10-14,Cadres,REP
PA721486,male,Naegelen,Christophe,1983-12-30,Entrepreneurs,UDRL
PA721498,male,Guerini,Stanislas,1982-05-14,Cadres,LAREM
PA721506,female,Kuster,Brigitte,1959-04-12,Non déclaré,REP
PA721514,female,Kerbarh,Stéphanie,1975-07-31,Cadres,LAREM
PA721522,male,Batut,Xavier,1976-12-26,Cadres,LAREM
PA721530,female,Luquet,Aude,1967-08-18,Cadres,MODEM
PA721538,female,Roques-Etienne,Muriel,1979-03-05,Cadres,LAREM
PA721542,female,Verdier-Jouclas,Marie-Christine,1965-03-19,Cadres,LAREM
PA721560,male,Griveaux,Benjamin,1977-12-29,Cadres,LAREM
PA721568,male,Person,Pierre,1989-01-22,Cadres,LAREM
PA721576,female,Bouchet Bellecourt,Sylvie,1957-07-03,Prof. inter.,REP
PA721584,male,Terlier,Jean,1977-03-02,Cadres,LAREM
PA721600,female,Rossi,Laurianne,1984-05-18,Cadres,LAREM
PA721608,male,Bourlanges,Jean-Louis,1946-07-13,Cadres,MODEM
PA721616,male,Rupin,Pacôme,1985-01-25,Cadres,LAREM
PA721624,female,Avia,Laetitia,1985-10-29,Cadres,LAREM
PA721632,female,Lemoine,Patricia,1961-12-30,Cadres,MODEM
PA721636,male,Parigi,Jean-François,1960-01-25,Non déclaré,REP
PA721644,male,Kokouendo,Rodrigue,1974-03-08,Cadres,LAREM
PA721656,female,Muschotti,Cécile,1987-10-30,Cadres,LAREM
PA721666,female,Audibert,Edith,1948-03-07,Retraités,REP
PA721674,female,Atger,Stéphanie,1975-10-11,Entrepreneurs,LAREM
PA721678,male,Reda,Robin,1991-05-10,Non déclaré,REP
PA721690,male,Tan,Buon,1967-03-10,Entrepreneurs,LAREM
PA721702,male,Fauvergue,Jean-Michel,1957-01-31,Cadres,LAREM
PA721710,female,Peyron,Michèle,1961-07-22,Cadres,LAREM
PA721718,female,Do,Stéphanie,1979-12-20,Cadres,LAREM
PA721726,female,Mauborgne,Sereine,1972-05-03,Prof. inter.,LAREM
PA721734,male,Michel-Kleisbauer,Philippe,1969-03-06,Cadres,MODEM
PA721742,female,Florennes,Isabelle,1967-08-02,Cadres,MODEM
PA721750,female,Calvez,Céline,1979-07-24,Entrepreneurs,LAREM
PA721760,female,Gatel,Maud,1979-04-06,Cadres,ND
PA721768,female,Silin,Marie,1978-10-04,Cadres,LAREM
PA721776,male,Baichère,Didier,1970-08-20,Cadres,LAREM
PA721784,female,Gomez-Bassac,Valérie,1969-07-16,Cadres,LAREM
PA721792,female,Guerel,Émilie,1983-12-18,Cadres,LAREM
PA721800,male,Matras,Fabien,1984-09-12,Prof. inter.,LAREM
PA721808,female,Crouzet,Michèle,1967-08-31,Cadres,MODEM
PA721816,male,Boucard,Ian,1988-05-05,Cadres,REP
PA721824,male,Renson,Hugues,1978-02-11,Cadres,LAREM
PA721832,female,Boëlle,Sandra,1961-05-26,Non déclaré,REP
PA721836,male,Barrot,Jean-Noël,1983-05-13,Cadres,MODEM
PA721844,female,Piron,Béatrice,1965-08-30,Entrepreneurs,LAREM
PA721852,female,Lebec,Marie,1990-12-17,Cadres,LAREM
PA721864,female,Zitouni,Souad,1974-04-23,Cadres,LAREM
PA721876,male,Morenas,Adrien,1982-01-01,Non déclaré,LAREM
PA721880,female,Guévenoux,Marie,1976-11-02,Cadres,LAREM
PA721888,male,Raphan,Pierre-Alain,1983-04-06,Entrepreneurs,LAREM
PA721896,female,Faucillon,Elsa,1981-08-06,Employés,PCF
PA721908,female,Braun-Pivet,Yaël,1970-12-07,Cadres,LAREM
PA721916,female,Pouzyreff,Natalia,1961-02-18,Cadres,LAREM
PA721924,female,de Vaucouleurs,Michèle,1964-02-12,Cadres,MODEM
PA721932,female,Lorho,Marie-France,1964-12-15,Prof. inter.,ND
PA721946,male,Marilossian,Jacques,1958-07-26,Cadres,LAREM
PA721960,female,Obono,Danièle,1980-07-12,Cadres,FI
PA721968,male,Vialay,Michel,1960-01-06,Cadres,REP
PA721976,male,Millienne,Bruno,1959-11-28,Cadres,MODEM
PA721984,male,Latombe,Philippe,1975-04-21,Cadres,MODEM
PA721996,male,Loiseau,Patrick,1960-05-08,Cadres,MODEM
PA722000,male,Buchou,Stéphane,1974-03-14,Cadres,LAREM
PA722008,female,Leguille-Balloy,Martine,1957-09-06,Cadres,LAREM
PA722022,female,Romeiro Dias,Laëtitia,1981-01-15,Cadres,LAREM
PA722030,male,Bournazel,Pierre-Yves,1977-08-31,Entrepreneurs,MODEM
PA722038,male,Adam,Damien,1989-06-28,Cadres,LAREM
PA722046,female,Bergé,Aurore,1986-11-13,Cadres,LAREM
PA722062,female,Granjus,Florence,1962-05-17,Cadres,LAREM
PA722070,male,Henriet,Pierre,1991-11-26,Prof. inter.,LAREM
PA722082,female,Ballet-Blu,Françoise,1964-03-09,Entrepreneurs,LAREM
PA722090,female,Pételle,Bénédicte,1971-06-04,Prof. inter.,LAREM
PA722094,female,Hennion,Christine,1955-08-23,Cadres,LAREM
PA722102,female,Vidal,Annie,1956-09-17,Cadres,LAREM
PA722110,male,Wulfranc,Hubert,1956-12-17,Cadres,PCF
PA722118,female,Sylla,Sira,1980-03-14,Cadres,LAREM
PA722126,male,Chiche,Guillaume,1986-03-30,Cadres,EELV
PA722134,male,Fiévet,Jean-Marie,1964-06-19,Prof. inter.,LAREM
PA722142,male,Ruffin,François,1975-10-18,Cadres,FI
PA722150,male,Houlié,Sacha,1988-10-08,Cadres,LAREM
PA722162,male,Turquois,Nicolas,1972-07-26,Agriculteurs,MODEM
PA722170,female,Beaudouin-Hubiere,Sophie,1972-11-20,Non déclaré,LAREM
PA722178,male,Maire,Jacques,1962-04-04,Cadres,LAREM
PA722194,female,Provendier,Florence,1965-10-28,Cadres,LAREM
PA722202,male,Jumel,Sébastien,1971-12-20,Cadres,PCF
PA722218,female,Delpirou,Cécile,1964-03-23,Cadres,LAREM
PA722228,male,Leclabart,Jean-Claude,1954-12-04,Retraités,LAREM
PA722240,male,Venteau,Pierre,1974-08-26,Cadres,LAREM
PA722244,female,Magne,Marie-Ange,1987-11-20,Cadres,LAREM
PA722252,female,Rixain,Marie-Pierre,1977-01-18,Cadres,LAREM
PA722260,male,Villani,Cédric,1973-10-05,Cadres,EELV
PA722268,female,Wonner,Martine,1964-03-27,Cadres,RPS
PA722280,male,Meyer,Philippe,1969-04-29,Prof. inter.,REP
PA722284,male,Fuchs,Bruno,1959-04-07,Entrepreneurs,MODEM
PA722292,male,Rudigoz,Thomas,1971-01-11,Non déclaré,LAREM
PA722300,female,Khedher,Anissa,1980-04-01,Cadres,LAREM
PA722308,female,Serre,Nathalie,1968-08-17,Non déclaré,REP
PA722312,female,Bessot Ballot,Barbara,1972-04-13,Cadres,LAREM
PA722320,male,Lejeune,Christophe,1969-03-22,Cadres,LAREM
PA722336,male,Thiébaut,Vincent,1972-05-23,Cadres,LAREM
PA722344,male,Julien-Laferrière,Hubert,1966-02-27,Cadres,EELV
PA722358,male,Gassilloud,Thomas,1981-05-21,Entrepreneurs,MODEM
PA722366,male,Fugit,Jean-Luc,1969-11-27,Cadres,LAREM
PA722374,male,Isaac-Sibille,Cyrille,1958-04-30,Cadres,MODEM
PA722382,male,Dirx,Benjamin,1979-01-25,Entrepreneurs,LAREM
PA722390,female,Corneloup,Josiane,1959-09-30,Cadres,REP
PA722398,male,Rebeyrotte,Rémy,1966-03-27,Cadres,LAREM
PA724827,female,Ali,Ramlati,1961-05-28,Cadres,LAREM
PA746,male,Carrez,Gilles,1948-08-29,Cadres,REP
PA748954,male,Savignat,Antoine,1975-07-22,Cadres,REP
PA755549,male,Brial,Sylvain,1964-09-16,Entrepreneurs,UDRL
PA759192,male,Poudroux,Jean-Luc,1950-08-29,Retraités,REP
PA760658,male,Chouat,Francis,1948-12-20,Retraités,LAREM
PA767,male,Cattin,Jacques,1958-06-04,Agriculteurs,REP
PA774952,male,Benassaya,Philippe,1964-08-04,Entrepreneurs,REP
PA774954,female,Blin,Anne-Laure,1983-06-12,Non déclaré,REP
PA774956,male,Hemedinger,Yves,1965-10-23,Cadres,REP
PA774958,male,Leseul,Gérard,1960-08-15,Cadres,PS
PA774960,female,Santiago,Isabelle,1965-09-20,Cadres,PS
PA774962,female,Lebon,Karine,1985-06-09,Prof. inter.,PCF
PA856,male,Cherpion,Gérard,1948-03-15,Cadres,REP
PA923,male,Cornut-Gentille,François,1958-05-22,Cadres,REP
PA942,male,de Courson,Charles,1952-04-02,Cadres,UDRL
